FSCS Key,Library Name,ADDRESS,CITY,ZIP,Locale ,Service Area Population,Books and Other Print Material,E-Books,  Audio - Physical,Video - Physical
VA0045,LYNCHBURG PUBLIC LIBRARY,2315 MEMORIAL AVENUE,LYNCHBURG,24501,City,"81,266","72,453","906,565",761,"4,125"
VA0046,"MADISON COUNTY LIBRARY, INC.",402 N MAIN ST,MADISON,22727,Rural,"13,342","34,881","26,469","2,204","4,485"
VA0047,MARY RILEY STYLES PUBLIC LIBRARY,120 NORTH VIRGINIA AVENUE,FALLS CHURCH,22046,Suburban,"14,593","67,397","19,739","1,702","5,370"
VA0048,MATHEWS MEMORIAL LIBRARY,251 MAIN STREET,MATHEWS,23109,Rural,"8,707","42,310","254,843","3,238","1,714"
VA0049,MEHERRIN REGIONAL LIBRARY,133 WEST HICKS STREET,LAWRENCEVILLE,23868,Town,"33,339","53,818","27,266","1,009","3,265"
VA0050,MIDDLESEX COUNTY PUBLIC LIBRARY,150 GRACE STREET,URBANNA,23175,Rural,"10,754","45,405","27,266","2,162","2,673"
VA0051,MONTGOMERY-FLOYD REGIONAL LIBRARY,125 SHELTMAN STREET,CHRISTIANSBURG,24073,City,"115,983","181,008","1,071,080","9,100","16,989"
VA0052,IRIS BRAMMER LIBRARY,109 MARY STREET,NARROWS,24124,Town,"1,949","5,608",0,0,67
VA0053,NEWPORT NEWS PUBLIC LIBRARY SYSTEM,"700 TOWN CENTER DR., STE. 300",NEWPORT NEWS,23606,City,"181,587","150,651","254,198","10,268","34,530"
VA0054,NORFOLK PUBLIC LIBRARY,1155 PINERIDGE ROAD,NORFOLK,23502,City,"246,063","584,977","902,717","17,524","56,677"
VA0055,NOTTOWAY COUNTY LIBRARY SYSTEM,414 TYLER STREET,CREWE,23930,Town,"15,520","25,705","828,499",298,"1,464"
VA0056,ORANGE COUNTY PUBLIC LIBRARY,146A MADISON ROAD,ORANGE,22960,Town,"36,286","103,708","636,306","9,332","23,209"
VA0057,PAMUNKEY REGIONAL LIBRARY,7527 LIBRARY DRIVE,HANOVER,23069,Rural,"157,275","179,726","833,051","13,847","20,544"
VA0058,PEARISBURG PUBLIC LIBRARY,209 FORT BRANCH ROAD,PEARISBURG,24134,Town,"2,620","37,575","25,918","1,392","2,564"
VA0059,PETERSBURG PUBLIC LIBRARY,201 W. WASHINGTON ST.,PETERSBURG,23803,Suburban,"31,622","58,983","876,644","1,668","3,261"
VA0060,PITTSYLVANIA COUNTY PUBLIC LIBRARY,24 MILITARY DRIVE,CHATHAM,24531,Rural,"61,101","102,877","794,651","3,655","12,885"
VA0061,POQUOSON PUBLIC LIBRARY,500 CITY HALL AVE.,POQUOSON,23662,Suburban,"12,466","56,472","29,137","3,228","4,661"
VA0062,PORTSMOUTH PUBLIC LIBRARY,601 COURT STREET,PORTSMOUTH,23704,City,"95,137","140,017","1,737,189","2,869","20,964"
VA0063,POWHATAN COUNTY PUBLIC LIBRARY,2270 MANN RD.,POWHATAN,23139,Rural,"30,305","41,441","243,329","1,722","4,332"
VA0064,PRINCE WILLIAM PUBLIC LIBRARIES,13083 CHINN PARK DRIVE,PRINCE WILLIAM,22192,Suburban,"468,497","418,467","1,059,934","18,915","20,182"
VA0065,PULASKI COUNTY LIBRARY SYSTEM,60 WEST THIRD STREET,PULASKI,24301,Town,"34,211","52,394","869,671","1,853","3,204"
VA0066,RADFORD PUBLIC LIBRARY,30 WEST MAIN ST.,RADFORD,24141,Suburban,"18,120","92,409","813,735","6,292","13,199"
VA0067,RAPPAHANNOCK COUNTY LIBRARY,4 LIBRARY ROAD,WASHINGTON,22747,Rural,"7,320","27,369","22,479","1,762","1,621"
VA0068,RICHMOND PUBLIC LIBRARY,101 EAST FRANKLIN STREET,RICHMOND,23219,City,"229,074","324,112","902,263","8,384","24,829"
VA0069,ROANOKE CITY PUBLIC LIBRARY,706 S. JEFFERSON ST.,ROANOKE,24016,City,"99,795","156,067","19,106","5,279","24,898"
VA0070,ROANOKE COUNTY PUBLIC LIBRARY,6303 MERRIMAN ROAD S.W.,ROANOKE,24018,Suburban,"94,224","223,036","21,181","10,696","32,551"
VA0071,ROCKBRIDGE REGIONAL LIBRARY,138 S. MAIN STREET,LEXINGTON,24450,Town,"40,851","82,608","22,065","3,771","8,794"
VA0072,MASSANUTTEN REGIONAL LIBRARY,174 S. MAIN STREET,HARRISONBURG,22801,City,"160,841","225,309","7,038","12,093","23,707"
VA0073,RUSSELL COUNTY PUBLIC LIBRARY,248 W MAIN STREET,LEBANON,24266,Town,"26,958","50,812","34,619","2,086","4,664"
VA0074,SALEM PUBLIC LIBRARY,28 E. MAIN ST.,SALEM,24153,Suburban,"25,522","52,507","29,478","2,929","6,762"
VA0075,SAMUELS PUBLIC LIBRARY,330 EAST CRISER ROAD,FRONT ROYAL,22630,Town,"40,202","89,681","723,755","2,694","9,111"
VA0076,SHENANDOAH COUNTY LIBRARY,514 STONEY CREEK BLVD.,EDINBURG,22824,Town,"43,166","106,215","885,125","5,373","11,674"
VA0077,SMYTH COUNTY PUBLIC LIBRARY,118 SOUTH SHEFFEY STREET,MARION,24354,Town,"30,068","94,031","907,184","4,792","16,429"
VA0079,STAUNTON PUBLIC LIBRARY,1 CHURCHVILLE AVENUE,STAUNTON,24401,City,"25,110","96,796","845,340","5,040","15,318"
VA0080,SUFFOLK PUBLIC LIBRARY SYSTEM,443 WEST WASHINGTON STREET,SUFFOLK,23434,Suburban,"94,960","112,429","14,193","7,604",58
VA0081,TAZEWELL COUNTY PUBLIC LIBRARY,129 MAIN STREET,TAZEWELL,24651,Town,"41,431","85,290","852,177","2,275","3,635"
VA0082,VIRGINIA BEACH PUBLIC LIBRARY,2416 COURTHOUSE DRIVE BUILDING 19,VIRGINIA BEACH,23456,City,"454,335","465,829","863,025","26,709","41,459"
VA0083,BLACKWATER REGIONAL LIBRARY,22511 MAIN STREET,COURTLAND,23837,Rural,"82,304","135,606","899,337","6,141","19,662"
VA0084,WASHINGTON COUNTY PUBLIC LIBRARY,205 OAK HILL STREET,ABINGDON,24210,Suburban,"53,559","85,550","860,451","4,458","13,495"
VA0085,WAYNESBORO PUBLIC LIBRARY,600 S. WAYNE AVE.,WAYNESBORO,22980,Suburban,"22,462","77,128","904,302","2,109","7,730"
VA0086,WILLIAMSBURG REGIONAL LIBRARY,7770 CROAKER ROAD,WILLIAMSBURG,23188,Rural,"91,941","190,564","38,578","10,142","23,508"
VA0087,WYTHE-GRAYSON REGIONAL LIBRARY,147 S. INDEPENDENCE AVE.,INDEPENDENCE,24348,Rural,"44,020","94,885","25,715","3,926","11,910"
VA0088,YORK COUNTY PUBLIC LIBRARY,100 LONG GREEN BOULEVARD,YORKTOWN,23693,Suburban,"69,792","103,709","51,990","2,841","7,540"
VA0090,NORTHUMBERLAND PUBLIC LIBRARY,7204 NORTHUMBERLAND HIGHWAY,HEATHSVILLE,22473,Rural,"12,100","20,434","141,083","1,669","1,403"
VA0091,CENTRAL VIRGINIA REGIONAL LIBRARY,1303 W. THIRD STREET,FARMVILLE,23901,Rural,"40,244","63,528","709,881","2,106","4,930"
VA0092,RICHMOND COUNTY PUBLIC LIBRARY,52 CAMPUS DRIVE,WARSAW,22572,Rural,"9,223","23,893","2,060,604","1,040","4,398"
VA0093,CRAIG COUNTY PUBLIC LIBRARY,303 MAIN STREET,NEW CASTLE,24127,Rural,"5,123","7,543","139,211",308,"3,112"
VA8001,"LUNENBURG COUNTY PUBLIC LIBRARY SYSTEM, INC",117 SOUTH BROAD ST.,KENBRIDGE,23944,Rural,"12,266","56,503",0,"1,172","1,855"
VA8002,MECKLENBURG COUNTY PUBLIC LIBRARY,1294 JEFFERSON ST.,BOYDTON,23917,Rural,"31,031","98,073","769,635","2,954","9,022"
VA8003,BLAND COUNTY PUBLIC LIBRARY,697 MAIN STREET,BLAND,24315,Rural,"6,410","18,037","32,067",681,"3,602"
